# 
#
# USGS Parameter Code Definitions File
#
# Column Definitions
#  parameter_cd  - Parameter Code
#  parameter_group_nm  - Group Name
#  parameter_nm  - Parameter Name/Description
#  casrn  - CASRN
#  srsname  - SRSName
#  parameter_units  - Parameter Unit
#
#
# Date Retrieved: 2017-06-14 13:33:26 EDT
#
parameter_cd	parameter_group_nm	parameter_nm	casrn	srsname	parameter_units
82625	Organics, pesticide	1,2-Dibromo-3-chloropropane, water, unfiltered, recoverable, micrograms per liter	96-12-8	1,2-Dibromo-3-chloropropane	ug/l
82627	Organics, pesticide	4-Chloro-3-methylphenol, water, unfiltered, recoverable, micrograms per liter	59-50-7	p-Chloro-m-cresol	ug/l
82630	Organics, pesticide	Metribuzin, water, filtered, recoverable, micrograms per liter	21087-64-9	Metribuzin	ug/l
82631	Organics, pesticide	o,p'-DDT, water, filtered, recoverable, micrograms per liter	789-02-6	o,p'-DDT	ug/l
82660	Organics, pesticide	2,6-Diethylaniline, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	579-66-8	2,6-Diethylaniline	ug/l
82661	Organics, pesticide	Trifluralin, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	1582-09-8	Trifluralin	ug/l
82662	Organics, pesticide	Dimethoate, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	60-51-5	Dimethoate	ug/l
82663	Organics, pesticide	Ethalfluralin, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	55283-68-6	Ethalfluralin	ug/l
82664	Organics, pesticide	Phorate, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	298-02-2	Phorate	ug/l
82665	Organics, pesticide	Terbacil, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	5902-51-2	Terbacil	ug/l
82666	Organics, pesticide	Linuron, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	330-55-2	Linuron	ug/l
82667	Organics, pesticide	Methyl parathion, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	298-00-0	Methyl parathion	ug/l
82668	Organics, pesticide	EPTC, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	759-94-4	S-Ethyl dipropylthiocarbamate	ug/l
82669	Organics, pesticide	Pebulate, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	1114-71-2	Pebulate	ug/l
82670	Organics, pesticide	Tebuthiuron, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	34014-18-1	Tebuthiuron	ug/l
82671	Organics, pesticide	Molinate, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	2212-67-1	Molinate	ug/l
82672	Organics, pesticide	Ethoprop, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	13194-48-4	Ethoprop	ug/l
82673	Organics, pesticide	Benfluralin, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	1861-40-1	Benfluralin	ug/l
82674	Organics, pesticide	Carbofuran, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	1563-66-2	Carbofuran	ug/l
82675	Organics, pesticide	Terbufos, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	13071-79-9	Terbufos	ug/l
82676	Organics, pesticide	Propyzamide, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	23950-58-5	Pronamide	ug/l
82677	Organics, pesticide	Disulfoton, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	298-04-4	Disulfoton	ug/l
82678	Organics, pesticide	Triallate, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	2303-17-5	Triallate	ug/l
82679	Organics, pesticide	Propanil, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	709-98-8	Propanil	ug/l
82680	Organics, pesticide	Carbaryl, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	63-25-2	Carbaryl	ug/l
82681	Organics, pesticide	Thiobencarb, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	28249-77-6	Thiobencarb	ug/l
82682	Organics, pesticide	DCPA, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	1861-32-1	Chlorthal-dimethyl	ug/l
82683	Organics, pesticide	Pendimethalin, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	40487-42-1	Pendimethalin	ug/l
82684	Organics, pesticide	Napropamide, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	15299-99-7	Napropamide	ug/l
82685	Organics, pesticide	Propargite, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	2312-35-8	Propargite	ug/l
82686	Organics, pesticide	Azinphos-methyl, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	86-50-0	Azinphos-methyl	ug/l
82687	Organics, pesticide	cis-Permethrin, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter	61949-76-6	1RS cis-Permethrin	ug/l
82692	Organics, pesticide	Carbofuran, water, filtered (0.7 micron glass fiber filter), enzyme-linked immunosorbent assay, recoverable, micrograms per liter	1563-66-2	Carbofuran	ug/l
82694	Organics, pesticide	Metolachlor, water, filtered (0.7 micron glass fiber filter), enzyme-linked immunosorbent assay, recoverable, micrograms per liter	51218-45-2	Metolachlor	ug/l
82695	Organics, pesticide	Alachlor, water, filtered (0.7 micron glass fiber filter), enzyme-linked immunosorbent assay, recoverable, micrograms per liter	15972-60-8	Alachlor	ug/l
82696	Organics, pesticide	Cyanazine, water, filtered (0.7 micron glass fiber filter), enzyme-linked immunosorbent assay, recoverable, micrograms per liter	21725-46-2	Cyanazine	ug/l
82697	Organics, pesticide	2,4-D, water, filtered (0.7 micron glass fiber filter), enzyme-linked immunosorbent assay, recoverable, micrograms per liter	94-75-7	2,4-D	ug/l
89000	Organics, pesticide	Diazinon, water, filtered, immunoassay, recoverable, field, micrograms per liter	333-41-5	Diazinon	ug/l
90392	Organics, pesticide	Glyphosate, spike, solids, dry weight, apparent percent recovery	1071-83-6		%
90393	Organics, pesticide	Aminomethylphosphonic acid (AMPA), spike, solids, dry weight, apprarent percent recovery	1066-21-9		%
90394	Organics, pesticide	Glufosinate, spike, solids, dry weight, apprarent percent recovery	77182-82-2		%
90852	Organics, pesticide	DDT plus degradates, bed sediment smaller than 2 millimeters, wet sieved (native water), recoverable, minimum summation, dry weight, micrograms per kilogram		Benzene, 1-chloro-2-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]-, 1,1'-(2,2,2-trichloroethylidene)bis[4-chlorobenzene], 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene], 1,1'-(2,2-dichloroethylidene)bis[4-chlorobenzene], 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene, and 1,1'-(dichloroethenylidene)bis[4-chlorobenzene] and metabolites	ug/kg
90853	Organics, pesticide	Chlordane plus degradates, bed sediment, recoverable, minimum summation, dry weight, micrograms per kilogram		Chlordane, technical, and/or chlordane metabolites	ug/kg
90854	Organics, pesticide	DDT plus degradates, biota, whole organism, minimum summation, wet weight, micrograms per kilogram		Benzene, 1-chloro-2-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]-, 1,1'-(2,2,2-trichloroethylidene)bis[4-chlorobenzene], 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene], 1,1'-(2,2-dichloroethylidene)bis[4-chlorobenzene], 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene, and 1,1'-(dichloroethenylidene)bis[4-chlorobenzene] and metabolites	ug/kg
90855	Organics, pesticide	Chlordane plus degradates, biota, whole organism, minimum summation, wet weight, micrograms per kilogram		Chlordane, technical, and/or chlordane metabolites	ug/kg
90863	Organics, pesticide	DDT plus degradates, bed sediment smaller than 2 millimeters, wet sieved (native water), recoverable, maximum summation, dry weight, micrograms per kilogram		Benzene, 1-chloro-2-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]-, 1,1'-(2,2,2-trichloroethylidene)bis[4-chlorobenzene], 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene], 1,1'-(2,2-dichloroethylidene)bis[4-chlorobenzene], 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene, and 1,1'-(dichloroethenylidene)bis[4-chlorobenzene] and metabolites	ug/kg
90864	Organics, pesticide	Chlordane plus degradates, bed sediment, recoverable, maximum summation, dry weight, micrograms per kilogram		Chlordane, technical, and/or chlordane metabolites	ug/kg
90865	Organics, pesticide	DDT plus degradates, biota, whole organism, wet weight, maximum summation, micrograms per kilogram		Benzene, 1-chloro-2-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]-, 1,1'-(2,2,2-trichloroethylidene)bis[4-chlorobenzene], 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene], 1,1'-(2,2-dichloroethylidene)bis[4-chlorobenzene], 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene, and 1,1'-(dichloroethenylidene)bis[4-chlorobenzene] and metabolites	ug/kg
90866	Organics, pesticide	Chlordane plus degradates, biota, whole organism, maximum summation, wet weight, micrograms per kilogram		Chlordane, technical, and/or chlordane metabolites	ug/kg
99319	Organics, pesticide	Chloropicrin, disinfection byproduct, water, unfiltered, EPA method 551.1, micrograms per liter	76-06-2	Chloropicrin	ug/l
99408	Organics, pesticide	Atrazine, water, filtered, estimated by regression equation, micrograms per liter	1912-24-9	Atrazine	ug/l
99422	Organics, pesticide	Atrazine, water, dissolved, pounds per day	1912-24-9	Atrazine	lb/day
99773	Organics, pesticide	Fluometuron, water, filtered, immunoassay, unadjusted, recoverable, micrograms per liter	2164-17-2	Fluometuron	ug/l
99774	Organics, pesticide	Metribuzin, water, filtered, immunoassay, unadjusted, recoverable, micrograms per liter	21087-64-9	Metribuzin	ug/l
99775	Organics, pesticide	Atrazine, water, filtered, immunoassay, unadjusted, recoverable, micrograms per liter	1912-24-9	Atrazine	ug/l
99960	Organics, pesticide	Glyphosate, water, filtered, immunoassay, unadjusted, recoverable, micrograms per liter	1071-83-6	Glyphosate	ug/l
04114	Organics, PCBs	PCBs, suspended sediment, recoverable, nanograms per liter	1336-36-3	Polychlorinated biphenyls	ng/l
04115	Organics, PCBs	PCBs, water, dissolved, recoverable, grams per day	1336-36-3	Polychlorinated biphenyls	g/day
04116	Organics, PCBs	PCBs, water, unfiltered, recoverable, grams per day	1336-36-3	Polychlorinated biphenyls	g/day
04444	Organics, PCBs	PCB congener 128, water, filtered, recoverable, micrograms per liter	38380-07-3	2,2',3,3',4,4'-Hexachlorobiphenyl	ug/l
04452	Organics, PCBs	PCB congener 18, water, filtered, recoverable, micrograms per liter	37680-65-2	2,2',5-Trichlorobiphenyl	ug/l
04462	Organics, PCBs	PCB congener 52, water, filtered, recoverable, micrograms per liter	35693-99-3	2,2',5,5'-Tetrachlorobiphenyl	ug/l
04463	Organics, PCBs	PCB congener 49, water, filtered, recoverable, micrograms per liter	41464-40-8	2,2',4,5'-Tetrachlorobiphenyl	ug/l
04465	Organics, PCBs	PCB congener 44, water, filtered, recoverable, micrograms per liter	41464-39-5	2,2',3,5'-Tetrachlorobiphenyl	ug/l
04475	Organics, PCBs	PCB congener 101, water, filtered, recoverable, micrograms per liter	37680-73-2	2,2',4,5,5'-Pentachlorobiphenyl	ug/l
04478	Organics, PCBs	PCB congener 87, water, filtered, recoverable, micrograms per liter	38380-02-8	2,2',3,4,5'-Pentachlorobiphenyl	ug/l
04487	Organics, PCBs	PCB congener 118, water, filtered, recoverable, micrograms per liter	31508-00-6	2,3',4,4',5-Pentachlorobiphenyl	ug/l
04495	Organics, PCBs	PCB congener 183, water, filtered, recoverable, micrograms per liter	52663-69-1	2,2',3,4,4',5',6-Heptachlorobiphenyl	ug/l
04512	Organics, PCBs	PCB congener 180, water, filtered, recoverable, micrograms per liter	35065-29-3	2,2',3,4,4',5,5'-Heptachlorobiphenyl	ug/l
04519	Organics, PCBs	PCB congener 206, water, filtered, recoverable, micrograms per liter	40186-72-9	2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl	ug/l
04607	Organics, PCBs	PCB congener 8, water, unfiltered, recoverable, micrograms per liter	34883-43-7	2,4'-Dichlorobiphenyl	ug/l
04608	Organics, PCBs	PCB congener 18, water, unfiltered, recoverable, micrograms per liter	37680-65-2	2,2',5-Trichlorobiphenyl	ug/l
04609	Organics, PCBs	PCB congener 28, water, unfiltered, recoverable, micrograms per liter	7012-37-5	2,4,4'-Trichlorobiphenyl	ug/l
04610	Organics, PCBs	PCB congener 44, water, unfiltered, recoverable, micrograms per liter	41464-39-5	2,2',3,5'-Tetrachlorobiphenyl	ug/l
04611	Organics, PCBs	PCB congener 49, water, unfiltered, recoverable, micrograms per liter	41464-40-8	2,2',4,5'-Tetrachlorobiphenyl	ug/l
04612	Organics, PCBs	PCB congener 52, water, unfiltered, recoverable, micrograms per liter	35693-99-3	2,2',5,5'-Tetrachlorobiphenyl	ug/l
04613	Organics, PCBs	PCB congener 66, water, unfiltered, recoverable, micrograms per liter	32598-10-0	2,3',4,4'-Tetrachlorobiphenyl	ug/l
04614	Organics, PCBs	PCB congener 77, water, unfiltered, recoverable, micrograms per liter	32598-13-3	3,3',4,4'-Tetrachlorobiphenyl	ug/l
04615	Organics, PCBs	PCB congener 87, water, unfiltered, recoverable, micrograms per liter	38380-02-8	2,2',3,4,5'-Pentachlorobiphenyl	ug/l
04616	Organics, PCBs	PCB congener 101, water, unfiltered, recoverable, micrograms per liter	37680-73-2	2,2',4,5,5'-Pentachlorobiphenyl	ug/l
04617	Organics, PCBs	PCB congener 105, water, unfiltered, recoverable, micrograms per liter	32598-14-4	2,3,3',4,4'-Pentachlorobiphenyl	ug/l
04618	Organics, PCBs	PCB congener 118, water, unfiltered, recoverable, micrograms per liter	31508-00-6	2,3',4,4',5-Pentachlorobiphenyl	ug/l
04619	Organics, PCBs	PCB congener 126, water, unfiltered, recoverable, micrograms per liter	57465-28-8	3,3',4,4',5-Pentachlorobiphenyl	ug/l
04620	Organics, PCBs	PCB congener 128, water, unfiltered, recoverable, micrograms per liter	38380-07-3	2,2',3,3',4,4'-Hexachlorobiphenyl	ug/l
04621	Organics, PCBs	PCB congener 138, water, unfiltered, recoverable, micrograms per liter	35065-28-2	2,2',3,4,4',5'-Hexachlorobiphenyl	ug/l
04622	Organics, PCBs	PCB congener 153, water, unfiltered, recoverable, micrograms per liter	35065-27-1	2,2',4,4',5,5'-Hexachlorobiphenyl	ug/l
04623	Organics, PCBs	PCB congener 169, water, unfiltered, recoverable, micrograms per liter	32774-16-6	3,3',4,4',5,5'-Hexachlorobiphenyl	ug/l
04624	Organics, PCBs	PCB congener 170, water, unfiltered, recoverable, micrograms per liter	35065-30-6	2,2',3,3',4,4',5-Heptachlorobiphenyl	ug/l
04625	Organics, PCBs	PCB congener 180, water, unfiltered, recoverable, micrograms per liter	35065-29-3	2,2',3,4,4',5,5'-Heptachlorobiphenyl	ug/l
04626	Organics, PCBs	PCB congener 183, water, unfiltered, recoverable, micrograms per liter	52663-69-1	2,2',3,4,4',5',6-Heptachlorobiphenyl	ug/l
04627	Organics, PCBs	PCB congener 184, water, unfiltered, recoverable, micrograms per liter	74472-48-3	2,2',3,4,4',6,6'-Heptachlorobiphenyl	ug/l
04628	Organics, PCBs	PCB congener 187, water, unfiltered, recoverable, micrograms per liter	52663-68-0	2,2',3,4',5,5',6-Heptachlorobiphenyl	ug/l
04629	Organics, PCBs	PCB congener 195, water, unfiltered, recoverable, micrograms per liter	52663-78-2	2,2',3,3',4,4',5,6-Octachlorobiphenyl	ug/l
04630	Organics, PCBs	PCB congener 206, water, unfiltered, recoverable, micrograms per liter	40186-72-9	2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl	ug/l
04631	Organics, PCBs	PCB congener 209, water, unfiltered, recoverable, micrograms per liter	2051-24-3	Decachlorobiphenyl	ug/l
04632	Organics, PCBs	PCB congener 8, water, filtered, recoverable, micrograms per liter	34883-43-7	2,4'-Dichlorobiphenyl	ug/l
04633	Organics, PCBs	PCB congener 28, water, filtered, recoverable, micrograms per liter	7012-37-5	2,4,4'-Trichlorobiphenyl	ug/l
04634	Organics, PCBs	PCB congener 66, water, filtered, recoverable, micrograms per liter	32598-10-0	2,3',4,4'-Tetrachlorobiphenyl	ug/l
04635	Organics, PCBs	PCB congener 77, water, filtered, recoverable, micrograms per liter	32598-13-3	3,3',4,4'-Tetrachlorobiphenyl	ug/l
04636	Organics, PCBs	PCB congener 105, water, filtered, recoverable, micrograms per liter	32598-14-4	2,3,3',4,4'-Pentachlorobiphenyl	ug/l
04637	Organics, PCBs	PCB congener 126, water, filtered, recoverable, micrograms per liter	57465-28-8	3,3',4,4',5-Pentachlorobiphenyl	ug/l
04638	Organics, PCBs	PCB congener 138, water, filtered, recoverable, micrograms per liter	35065-28-2	2,2',3,4,4',5'-Hexachlorobiphenyl	ug/l
04639	Organics, PCBs	PCB congener 153, water, filtered, recoverable, micrograms per liter	35065-27-1	2,2',4,4',5,5'-Hexachlorobiphenyl	ug/l
04640	Organics, PCBs	PCB congener 169, water, filtered, recoverable, micrograms per liter	32774-16-6	3,3',4,4',5,5'-Hexachlorobiphenyl	ug/l
04641	Organics, PCBs	PCB congener 170, water, filtered, recoverable, micrograms per liter	35065-30-6	2,2',3,3',4,4',5-Heptachlorobiphenyl	ug/l
04642	Organics, PCBs	PCB congener 184, water, filtered, recoverable, micrograms per liter	74472-48-3	2,2',3,4,4',6,6'-Heptachlorobiphenyl	ug/l
04643	Organics, PCBs	PCB congener 187, water, filtered, recoverable, micrograms per liter	52663-68-0	2,2',3,4',5,5',6-Heptachlorobiphenyl	ug/l
04644	Organics, PCBs	PCB congener 195, water, filtered, recoverable, micrograms per liter	52663-78-2	2,2',3,3',4,4',5,6-Octachlorobiphenyl	ug/l
04645	Organics, PCBs	PCB congener 209, water, filtered, recoverable, micrograms per liter	2051-24-3	Decachlorobiphenyl	ug/l
04646	Organics, PCBs	PCB congener 66, solids, recoverable, dry weight, micrograms per kilogram	32598-10-0	2,3',4,4'-Tetrachlorobiphenyl	ug/kg
04647	Organics, PCBs	PCB congener 77, solids, recoverable, dry weight, micrograms per kilogram	32598-13-3	3,3',4,4'-Tetrachlorobiphenyl	ug/kg
04648	Organics, PCBs	PCB congener 87, solids, recoverable, dry weight, micrograms per kilogram	38380-02-8	2,2',3,4,5'-Pentachlorobiphenyl	ug/kg
04649	Organics, PCBs	PCB congener 105, solids, recoverable, dry weight, micrograms per kilogram	32598-14-4	2,3,3',4,4'-Pentachlorobiphenyl	ug/kg
04650	Organics, PCBs	PCB congener 126, solids, recoverable, dry weight, micrograms per kilogram	57465-28-8	3,3',4,4',5-Pentachlorobiphenyl	ug/kg
04651	Organics, PCBs	PCB congener 128, solids, recoverable, dry weight, micrograms per kilogram	38380-07-3	2,2',3,3',4,4'-Hexachlorobiphenyl	ug/kg
04652	Organics, PCBs	PCB congener 153, solids, recoverable, dry weight, micrograms per kilogram	35065-27-1	2,2',4,4',5,5'-Hexachlorobiphenyl	ug/kg
04653	Organics, PCBs	PCB congener 169, solids, recoverable, dry weight, micrograms per kilogram	32774-16-6	3,3',4,4',5,5'-Hexachlorobiphenyl	ug/kg
04654	Organics, PCBs	PCB congener 184, solids, recoverable, dry weight, micrograms per kilogram	74472-48-3	2,2',3,4,4',6,6'-Heptachlorobiphenyl	ug/kg
04655	Organics, PCBs	PCB congener 195, solids, recoverable, dry weight, micrograms per kilogram	52663-78-2	2,2',3,3',4,4',5,6-Octachlorobiphenyl	ug/kg
04656	Organics, PCBs	PCB congener 209, solids, recoverable, dry weight, micrograms per kilogram	2051-24-3	Decachlorobiphenyl	ug/kg
04657	Organics, PCBs	PCB congener 8, biota, tissue, recoverable, wet weight, micrograms per kilogram	34883-43-7	2,4'-Dichlorobiphenyl	ug/kg
04658	Organics, PCBs	PCB congener 28, biota, tissue, recoverable, wet weight, micrograms per kilogram	7012-37-5	2,4,4'-Trichlorobiphenyl	ug/kg
04659	Organics, PCBs	PCB congener 66, biota, tissue, recoverable, wet weight, micrograms per kilogram	32598-10-0	2,3',4,4'-Tetrachlorobiphenyl	ug/kg
04660	Organics, PCBs	PCB congener 77, biota, tissue, recoverable, wet weight, micrograms per kilogram	32598-13-3	3,3',4,4'-Tetrachlorobiphenyl	ug/kg
04661	Organics, PCBs	PCB congener 128, biota, tissue, recoverable, wet weight, micrograms per kilogram	38380-07-3	2,2',3,3',4,4'-Hexachlorobiphenyl	ug/kg
04662	Organics, PCBs	PCB congener 153, biota, tissue, recoverable, wet weight, micrograms per kilogram	35065-27-1	2,2',4,4',5,5'-Hexachlorobiphenyl	ug/kg
04663	Organics, PCBs	PCB congener 184, biota, tissue, recoverable, wet weight, micrograms per kilogram	74472-48-3	2,2',3,4,4',6,6'-Heptachlorobiphenyl	ug/kg
04664	Organics, PCBs	PCB congener 195, biota, tissue, recoverable, wet weight, micrograms per kilogram	52663-78-2	2,2',3,3',4,4',5,6-Octachlorobiphenyl	ug/kg
04665	Organics, PCBs	PCB congener 209, biota, tissue, recoverable, wet weight, micrograms per kilogram	2051-24-3	Decachlorobiphenyl	ug/kg
19002	Organics, PCBs	PCB congener 7, water, filtered, recoverable, nanograms per liter	33284-50-3	2,4-Dichlorobiphenyl	ng/l
19003	Organics, PCBs	PCB congener 6, water, filtered, recoverable, nanograms per liter	25569-80-6	2,3'-Dichlorobiphenyl	ng/l
19004	Organics, PCBs	PCB congeners 5 plus 8, water, filtered, recoverable, nanograms per liter		PCB-5/8	ng/l
19005	Organics, PCBs	PCB congener 19, water, filtered, recoverable, nanograms per liter	38444-73-4	2,2',6-Trichlorobiphenyl	ng/l
19006	Organics, PCBs	PCB congener 18, water, filtered, recoverable, nanograms per liter	37680-65-2	2,2',5-Trichlorobiphenyl	ng/l
19007	Organics, PCBs	PCB congener 17, water, filtered, recoverable, nanograms per liter	37680-66-3	2,2',4-Trichlorobiphenyl	ng/l
19008	Organics, PCBs	PCB congeners 24 plus 27, water, filtered, recoverable, nanograms per liter		PCB-24/27	ng/l
19009	Organics, PCBs	PCB congeners 16 plus 32, water, filtered, recoverable, nanograms per liter		PCB-16/32	ng/l
19010	Organics, PCBs	PCB congener 26, water, filtered, recoverable, nanograms per liter	38444-81-4	2,3',5-Trichlorobiphenyl	ng/l
19011	Organics, PCBs	PCB congeners 28 plus 31, water, filtered, recoverable, nanograms per liter		PCB-28/31	ng/l
19012	Organics, PCBs	PCB congener 33, water, filtered, recoverable, nanograms per liter	38444-86-9	2,3',4'-Trichlorobiphenyl	ng/l
19013	Organics, PCBs	PCB congener 22, water, filtered, recoverable, nanograms per liter	38444-85-8	2,3,4'-Trichlorobiphenyl	ng/l
19014	Organics, PCBs	PCB congener 45, water, filtered, recoverable, nanograms per liter	70362-45-7	2,2',3,6-Tetrachlorobiphenyl	ng/l
19015	Organics, PCBs	PCB congener 46, water, filtered, recoverable, nanograms per liter	41464-47-5	2,2',3,6'-Tetrachlorobiphenyl	ng/l
19016	Organics, PCBs	PCB congener 52, water, filtered, recoverable, nanograms per liter	35693-99-3	2,2',5,5'-Tetrachlorobiphenyl	ng/l
19017	Organics, PCBs	PCB congener 49, water, filtered, recoverable, nanograms per liter	41464-40-8	2,2',4,5'-Tetrachlorobiphenyl	ng/l
19018	Organics, PCBs	PCB congeners 47 plus 48, water, filtered, recoverable, nanograms per liter		PCB-47/48	ng/l
19019	Organics, PCBs	PCB congener 44, water, filtered, recoverable, nanograms per liter	41464-39-5	2,2',3,5'-Tetrachlorobiphenyl	ng/l
19020	Organics, PCBs	PCB congeners 37 plus 42, water, filtered, recoverable, nanograms per liter		PCB-37/42	ng/l
19021	Organics, PCBs	PCB congeners 41 plus 64 plus 71, water, filtered, recoverable, nanograms per liter		PCB-41/64/71	ng/l
19022	Organics, PCBs	PCB congener 40, water, filtered, recoverable, nanograms per liter	38444-93-8	2,2',3,3'-Tetrachlorobiphenyl	ng/l
19023	Organics, PCBs	PCB congener 74, water, filtered, recoverable, nanograms per liter	32690-93-0	2,4,4',5-Tetrachlorobiphenyl	ng/l
19024	Organics, PCBs	PCB congeners 70 plus 76, water, filtered, recoverable, nanograms per liter		PCB-70/76	ng/l
19025	Organics, PCBs	PCB congeners 66 plus 95, water, filtered, recoverable, nanograms per liter		PCB-66/95	ng/l
19026	Organics, PCBs	PCB congener 91, water, filtered, recoverable, nanograms per liter	68194-05-8	2,2',3,4',6-Pentachlorobiphenyl	ng/l
19027	Organics, PCBs	PCB congeners 56 plus 60, water, filtered, recoverable, nanograms per liter		PCB-56/60	ng/l
19028	Organics, PCBs	PCB congeners 84 plus 92, water, filtered, recoverable, nanograms per liter		PCB-84/92	ng/l
19029	Organics, PCBs	PCB congener 101, water, filtered, recoverable, nanograms per liter	37680-73-2	2,2',4,5,5'-Pentachlorobiphenyl	ng/l
19030	Organics, PCBs	PCB congener 99, water, filtered, recoverable, nanograms per liter	38380-01-7	2,2',4,4',5-Pentachlorobiphenyl	ng/l
19031	Organics, PCBs	PCB congener 97, water, filtered, recoverable, nanograms per liter	41464-51-1	2,2',3,4',5'-Pentachlorobiphenyl	ng/l
19032	Organics, PCBs	PCB congener 87, water, filtered, recoverable, nanograms per liter	38380-02-8	2,2',3,4,5'-Pentachlorobiphenyl	ng/l
19033	Organics, PCBs	PCB congener 85, water, filtered, recoverable, nanograms per liter	65510-45-4	2,2',3,4,4'-Pentachlorobiphenyl	ng/l
19034	Organics, PCBs	PCB congener 136, water, filtered, recoverable, nanograms per liter	38411-22-2	2,2',3,3',6,6'-Hexachlorobiphenyl	ng/l
19035	Organics, PCBs	PCB congeners 77 plus 110, water, filtered, recoverable, nanograms per liter		PCB-77/110	ng/l
19036	Organics, PCBs	PCB congener 82, water, filtered, recoverable, nanograms per liter	52663-62-4	2,2',3,3',4-Pentachlorobiphenyl	ng/l
19037	Organics, PCBs	PCB congener 151, water, filtered, recoverable, nanograms per liter	52663-63-5	2,2',3,5,5',6-Hexachlorobiphenyl	ng/l
19038	Organics, PCBs	PCB congeners 135 plus 144, water, filtered, recoverable, nanograms per liter		PCB-135/144	ng/l
19039	Organics, PCBs	PCB congener 149, water, filtered, recoverable, nanograms per liter	38380-04-0	2,2',3,4',5',6-Hexachlorobiphenyl	ng/l
19040	Organics, PCBs	PCB congener 118, water, filtered, recoverable, nanograms per liter	31508-00-6	2,3',4,4',5-Pentachlorobiphenyl	ng/l
19041	Organics, PCBs	PCB congener 146, water, filtered, recoverable, nanograms per liter	51908-16-8	2,2',3,4',5,5'-Hexachlorobiphenyl	ng/l
19042	Organics, PCBs	PCB congeners 132 plus 153, water, filtered, recoverable, nanograms per liter		PCB-132/153	ng/l
19043	Organics, PCBs	PCB congener 141, water, filtered, recoverable, nanograms per liter	52712-04-6	2,2',3,4,5,5'-Hexachlorobiphenyl	ng/l
19044	Organics, PCBs	PCB congeners 137 plus 176, water, filtered, recoverable, nanograms per liter		PCB-137/176	ng/l
19045	Organics, PCBs	PCB congeners 138 plus 163, water, filtered, recoverable, nanograms per liter		PCB-138/163	ng/l
19046	Organics, PCBs	PCB congener 178, water, filtered, recoverable, nanograms per liter	52663-67-9	2,2',3,3',5,5',6-Heptachlorobiphenyl	ng/l
19047	Organics, PCBs	PCB congeners 182 plus 187, water, filtered, recoverable, nanograms per liter		PCB-182/187	ng/l
19048	Organics, PCBs	PCB congener 183, water, filtered, recoverable, nanograms per liter	52663-69-1	2,2',3,4,4',5',6-Heptachlorobiphenyl	ng/l
19049	Organics, PCBs	PCB congener 185, water, filtered, recoverable, nanograms per liter	52712-05-7	2,2',3,4,5,5',6-Heptachlorobiphenyl	ng/l
